,prediction,real,error
198,[121.04029083251953],[117.2],0.03276698662559324
199,[12.122356414794922],[15.45],-0.21538146182557136
200,[16.91797637939453],[42.85],-0.6051814147165804
201,[112.17292785644531],[108.41],0.034710154565495026
202,[14.477262496948242],[8.15],0.7763512266194161
203,[6.549050331115723],[23.57],-0.7221446613866898
204,[182.98757934570312],[188.63],-0.029912636665943224
205,[95.9024887084961],[98.42],-0.025579265306887908
206,[117.39740753173828],[120.6],-0.026555493103330954
207,[61.839908599853516],[64.65],-0.04346622428687533
208,[156.85137939453125],[155.0],0.011944383190524193
209,[73.2227554321289],[76.45],-0.04221379421675731
210,[88.46978759765625],[115.25],-0.2323662681331345
211,[162.5673370361328],[172.12],-0.055500017219772206
212,[62.50407409667969],[63.42],-0.014442224902559354
213,[146.38087463378906],[153.0],-0.04326225729549632
214,[92.76834869384766],[75.02],0.23658156083507947
215,[270.7225341796875],[299.0],-0.0945734642819816
216,[227.60569763183594],[246.46],-0.07650045592860533
217,[238.34481811523438],[249.88],-0.0461628857242101
218,[152.68995666503906],[153.32],-0.0041093356050152016
219,[36.90456771850586],[33.69],0.09541607950447795
220,[22.74212074279785],[10.25],1.2187434871022294
221,[226.04002380371094],[238.0],-0.05025200082474396
222,[137.9568634033203],[139.5],-0.011061911087309587
223,[70.6927719116211],[74.03],-0.04507940143697025
224,[20.729597091674805],[34.1],-0.39209392693035766
225,[98.3751449584961],[92.3],0.06581955534665326
226,[174.10667419433594],[172.77],0.007736726250714402
227,[173.03018188476562],[190.59],-0.09213399504294233
228,[97.60611724853516],[158.6],-0.3845768143219725
229,[118.53300476074219],[121.36],-0.023294291688017568
230,[58.428043365478516],[58.55],-0.0020829484973779937
231,[66.0562973022461],[68.97],-0.0422459431311281
232,[169.81346130371094],[203.75],-0.1665596991228911
233,[294.22760009765625],[317.0],-0.07183722366669952
234,[58.4881477355957],[60.14],-0.027466781915601885
235,[57.864131927490234],[61.0],-0.051407673319832224
236,[143.40914916992188],[153.97],-0.06859031519177843
237,[38.52517318725586],[48.8],-0.2105497297693471
238,[71.45062255859375],[92.35],-0.2263061986075392
239,[68.68321990966797],[68.71],-0.0003897553533987047
240,[57.34291458129883],[55.4],0.03507066031225324
241,[45.800533294677734],[40.98],0.11763136395016442
242,[93.27899932861328],[97.67],-0.044957516856626606
243,[174.83021545410156],[182.12],-0.040027369568956965
244,[97.75330352783203],[93.2],0.048855188066867256
245,[166.2654266357422],[181.4],-0.08343204721200562
246,[62.287208557128906],[63.0],-0.011314149886842758
247,[142.18804931640625],[145.3],-0.02141741695522203
248,[202.7100067138672],[216.3],-0.06282937256649479
249,[262.53704833984375],[273.64],-0.04057503164799092
250,[41.89794158935547],[40.85],0.0256534048801828
251,[10.800826072692871],[7.65],0.4118726892408981
252,[200.7857666015625],[211.85],-0.05222673305847295
253,[170.8057403564453],[173.67],-0.016492541276873815
254,[10.27706241607666],[8.36],0.22931368613357186
255,[127.98970794677734],[132.28],-0.032433414372714374
256,[83.40953826904297],[109.02],-0.2349152607866174
257,[160.09353637695312],[161.5],-0.008708753083881578
258,[57.2779426574707],[61.53],-0.06910543381325042
259,[66.86284637451172],[69.57],-0.03891265812114812
260,[17.941692352294922],[26.1],-0.31257883707682294
261,[125.95641326904297],[133.6],-0.05721247553111546
262,[215.3507843017578],[232.11],-0.07220376415597002
263,[39.25702667236328],[50.5],-0.2226331352007271
264,[195.0745391845703],[229.65],-0.15055719928338643
265,[158.63392639160156],[169.05],-0.06161534225612806
266,[27.194047927856445],[7.5],2.625873057047526
267,[203.5911102294922],[213.5],-0.04641166168856118
268,[100.76451873779297],[122.2],-0.17541310361871548
269,[155.66586303710938],[161.9],-0.0385060961265635
270,[70.55784606933594],[106.12],-0.33511264540769004
271,[64.83113861083984],[66.85],-0.03019987119162529
272,[22.561731338500977],[35.65],-0.3671323607713611
273,[155.0499725341797],[173.35],-0.10556693086714916
274,[12.11750316619873],[11.85],0.022574106852213574
275,[13.605185508728027],[28.5],-0.522625069869192
276,[216.120361328125],[229.63],-0.058832202551387
277,[193.6721649169922],[220.34],-0.12103038523648822
278,[111.80978393554688],[112.0],-0.0016983577183314732
279,[114.6644058227539],[120.3],-0.0468461693869168
280,[59.13846206665039],[66.75],-0.11403053083669827
281,[68.45806121826172],[65.3],0.048362346374605236
282,[95.67821502685547],[88.98],0.07527775934879147
283,[39.33259963989258],[36.12],0.08894240420522095
284,[61.4276237487793],[61.19],0.0038833755316113605
285,[121.74861907958984],[128.5],-0.052539929341713275
286,[12.435378074645996],[5.5],1.2609778317538174
287,[16.44449806213379],[38.0],-0.5672500509964792
288,[82.10645294189453],[96.0],-0.14472444852193198
289,[115.5835189819336],[119.25],-0.030746172059257077
290,[72.02948760986328],[74.9],-0.0383245979991552
291,[151.16845703125],[162.3],-0.06858621668977209
292,[16.610286712646484],[37.75],-0.5599924049630071
293,[241.99435424804688],[265.3],-0.08784638428930695
294,[174.0066680908203],[198.45],-0.12317123662977918
295,[219.84738159179688],[231.89],-0.05193246111605982
296,[264.52935791015625],[282.0],-0.061952631524268616
297,[38.20878601074219],[47.14],-0.18946147622523998
298,[99.3194808959961],[102.8],-0.03385718972766443
299,[167.04249572753906],[172.1],-0.029387009136902568
300,[11.316431045532227],[6.6],0.7146107644745798
301,[187.34840393066406],[196.73],-0.04768767381353087
302,[191.7134246826172],[205.0],-0.0648125625238186
303,[17.828784942626953],[29.62],-0.39808288512400564
304,[137.22413635253906],[139.1],-0.01348571996736831
305,[89.13121795654297],[79.75],0.11763282704129115
306,[367.2983703613281],[387.27],-0.051570298857830085
307,[11.959107398986816],[17.65],-0.32243017569479787
308,[64.6100082397461],[78.82],-0.18028408729071177
309,[141.90093994140625],[135.65],0.04608138548769808
310,[198.68511962890625],[201.84],-0.01563060033241059
311,[54.64876174926758],[55.0],-0.006386150013316761
312,[236.7230987548828],[255.28],-0.07269234270259005
313,[15.4347505569458],[36.7],-0.5794345897289973
314,[392.7900695800781],[426.07],-0.07810906757087302
315,[198.4419708251953],[205.85],-0.035987511172235524
316,[13.223481178283691],[23.45],-0.43609888365527966
317,[211.6147003173828],[225.65],-0.06219942248002301
318,[94.82433319091797],[94.7],0.0013129164827662715
319,[124.28045654296875],[134.15],-0.07357095383549203
320,[91.68870544433594],[93.98],-0.024380661371186066
321,[16.013246536254883],[36.31],-0.5589852234575907
322,[65.93103790283203],[67.29],-0.02019560257345779
323,[103.05162048339844],[96.2],0.07122266614759287
324,[59.793739318847656],[47.4],0.26147129364657506
325,[182.67002868652344],[190.74],-0.042308751774544254
326,[75.72423553466797],[77.14],-0.018353182075862482
327,[72.88472747802734],[74.62],-0.023254791235227293
328,[37.8732795715332],[36.0],0.052035543653700084
329,[217.13809204101562],[226.31],-0.04052807193223621
330,[9.214524269104004],[22.7],-0.594073820744317
331,[15.24232006072998],[33.0],-0.5381115133112128
332,[220.91220092773438],[232.25],-0.04881721882568622
333,[55.09507369995117],[50.77],0.08518955485426764
334,[170.36676025390625],[175.7],-0.03035423873701616
335,[77.7314682006836],[92.28],-0.15765639141001742
336,[29.72357177734375],[46.05],-0.35453698637690007
337,[89.69449615478516],[94.0],-0.045803232395902595
338,[16.23407745361328],[42.55],-0.6184705651324728
339,[10.686722755432129],[18.47],-0.4214010419365387
340,[180.83473205566406],[195.9],-0.07690284810789148
341,[137.689453125],[135.85],0.013540324806772218
342,[161.63621520996094],[167.78],-0.03661809983334762
343,[76.74248504638672],[78.86],-0.026851571818580784
344,[70.65048217773438],[72.94],-0.03138905706423941
345,[158.4185333251953],[167.85],-0.05618985209892572
346,[149.00465393066406],[156.25],-0.04637021484375
347,[224.0819854736328],[227.45],-0.01480771389917422
348,[154.4048614501953],[164.2],-0.059653706149845775
349,[168.4577178955078],[173.3],-0.027941616298281586
350,[27.757247924804688],[20.08],0.3823330639842973
351,[149.5597381591797],[153.65],-0.026620643285521106
352,[174.2783203125],[212.75],-0.18083045681551116
353,[78.84955596923828],[80.93],-0.02570670988214167
354,[49.79451370239258],[48.27],0.03158304749104154
355,[111.73998260498047],[106.1],0.05315723473120146
356,[153.94715881347656],[157.6],-0.02317792631042787
357,[182.29238891601562],[187.44],-0.027462713849681887
358,[181.4169158935547],[189.89],-0.04462101272550055
359,[239.0343475341797],[250.78],-0.04683648004553917
360,[28.8627872467041],[51.4],-0.4384671741886361
361,[72.59606170654297],[74.71],-0.028295252221349553
362,[87.4129409790039],[131.55],-0.33551546196120186
363,[149.44627380371094],[159.3],-0.06185641052284415
364,[129.74122619628906],[138.0],-0.05984618698341259
365,[188.13067626953125],[197.99],-0.04979707929930178
366,[203.01646423339844],[213.57],-0.04941487927424992
367,[140.56822204589844],[147.0],-0.043753591524500424
368,[269.2163391113281],[284.9],-0.05504970476894298
369,[15.966202735900879],[19.98],-0.20089075395891498
370,[11.754950523376465],[31.4],-0.6256385183638068
371,[123.92562103271484],[128.22],-0.03349227084140661
372,[116.55418395996094],[128.26],-0.09126630313456303
373,[64.79339599609375],[65.61],-0.012446334459781275
374,[137.9833526611328],[147.6],-0.0651534372551977
375,[78.64833068847656],[101.37],-0.2241458943624686
376,[202.07467651367188],[211.23],-0.04334291287377794
377,[192.64134216308594],[201.73],-0.045053575754295604
378,[228.7944793701172],[249.0],-0.08114666919631651
379,[181.68406677246094],[195.75],-0.07185661929777298
380,[199.4636688232422],[213.61],-0.06622504178998093
381,[137.5347137451172],[135.61],0.014193007485562818
382,[124.20503997802734],[126.55],-0.018529909300455578
383,[206.31394958496094],[222.96],-0.07465935779978054
384,[12.34068775177002],[34.0],-0.6370385955361759
385,[22.175128936767578],[9.9],1.239912013814907
386,[136.26768493652344],[130.58],0.043557090952086264
387,[98.29743957519531],[84.79],0.15930462997046002
388,[170.31785583496094],[164.97],0.032417141510340905
389,[104.14274597167969],[91.12],0.14291863445653735
390,[53.19716262817383],[51.37],0.035568670978661295
391,[167.7633819580078],[183.93],-0.08789549307884627
392,[86.14716339111328],[147.4],-0.4155552008744011
393,[135.9849090576172],[141.42],-0.03843226518443502
394,[96.00753021240234],[100.4],-0.043749699079657985
395,[241.27960205078125],[257.0],-0.061168863615637156
396,[46.68966293334961],[48.6],-0.03930734705041959
397,[113.86495208740234],[129.5],-0.12073396071503982
398,[24.03934669494629],[25.0],-0.03842613220214844
399,[78.51495361328125],[79.74],-0.015363009615233823
400,[46.27022171020508],[42.88],0.07906300630142434
401,[125.729248046875],[130.25],-0.03470826835412668
402,[206.92872619628906],[219.9],-0.05898714781132762
403,[114.58885955810547],[117.85],-0.027671959625749053
404,[151.5910186767578],[164.55],-0.07875406455935702
405,[216.6595001220703],[230.47],-0.05992319988688197
406,[85.36849975585938],[88.21],-0.0322129037993495
407,[10.219525337219238],[6.7],0.5253022891371997
408,[136.12905883789062],[150.7],-0.09668839523629306
409,[116.0211181640625],[140.26],-0.1728139301007949
410,[71.09008026123047],[73.95],-0.03867369491236693
411,[76.28641510009766],[71.9],0.06100716411818707
412,[127.17952728271484],[128.78],-0.012427960221192401
