,dsigma,r,LSMCerror,BINerror,BSerror,MJDerror
0,-0.125,0.05,1.4664719579807228,1.474316825598276,0.7215748264077159,0.8350442889217538
1,-0.125,0.039513204346113995,1.5093987582799981,1.4501713905473461,0.7268037720958638,0.7457970681265401
2,-0.125,0.04692729104855932,1.4905617408369387,1.4670711176116706,0.7336060641309811,0.7513275637632854
3,-0.125,0.04378492115822553,1.4077993437231147,1.4598109821175969,0.7267664559745476,0.765786538458961
4,-0.125,0.03267537819704389,1.5692739331881038,1.4352521211515203,0.7323725946250155,2.605795452000359
5,-0.125,0.039710130086404276,1.6119893706988146,1.4506101735755499,0.7287885023046818,0.7632462351067463
6,-0.125,0.030796329512314882,1.4373120007303137,1.4312550771296002,0.7297383070578062,0.7241873186459166
7,-0.125,0.026844412407843646,1.4111346164403897,1.422983887837165,0.7302930725618182,0.8231311624676653
8,-0.125,0.02186689905844203,1.4539264096445128,1.412812497556618,0.7335441777598914,1.197329048511122
9,-0.125,0.018626856143922864,1.4106786343794753,1.406329977543565,0.72998077345698,0.7897448796487978
10,-0.125,0.009756424569347255,1.495459961245171,1.3890935437920906,0.7281621601594783,0.7337804981451678
11,-0.125,0.0006577579173272785,1.4468305713089207,1.372111885236964,0.7290918888211151,0.7441587772623715
12,-0.125,0.006374038980822888,2.1800122200700462,1.3827031813432547,0.7291380011324337,0.9458949302183589
13,-0.125,0.008352681129787761,1.4244138615784225,1.3864298721373556,0.7281412247378125,0.8035233833572769
14,-0.125,0.00984802477815988,1.458229060585667,1.3892679403600123,0.7293978482100452,0.7773957527913833
15,-0.125,0.0030692784180022708,1.5557735125352083,1.3765491318746632,0.7289834734881989,0.7566373208430427
16,-0.125,0.001362565314009881,2.211412573684576,1.3734041977564808,0.7292198814134926,0.7532629763228138
17,-0.125,0.0019471762737013516,1.4169076299940544,1.3744789557211385,0.7290678237034468,0.750127089982613
18,-0.125,0.014470193403565715,1.4575284011861913,1.3981633419720143,0.7295412316113781,0.7811617731068591
19,-0.125,0.02614514423295144,1.4513834907500818,1.421538781560589,0.7287207274487991,0.8014331176285462
20,-0.125,0.03911423602753347,1.5381168823869642,1.4492840418333222,0.7267339932744998,0.7644686544650777
21,-0.125,0.024154211848754957,1.4040747888861524,1.417453628524643,0.7320102427299031,0.8416615711239746
22,-0.125,0.03540501097648564,1.4901092190686054,1.4411357202878392,0.7250715213707919,0.7714265096922709
23,-0.125,0.04411121394607422,1.524521043514154,1.460558018597595,0.7370723878273752,0.7540198773772269
24,-0.125,0.04045839636300061,1.5035017731851963,1.4522822837355411,0.728580975930691,0.9414716453288688
25,-0.125,0.02589182335721881,1.5430640765588333,1.4210166014879027,0.7236877464183686,0.7541397011884491
26,-0.125,0.011091308760344051,1.428450970132799,1.3916421489617457,0.727906573843754,0.7501332957460786
27,-0.125,0.0037922028813023555,1.4198542290590188,1.3778879975900025,0.729061327011058,0.7780858281363117
28,-0.125,0.003558027028540549,1.4149509556070397,1.3774538565474868,0.729106654359994,0.7497566122868646
29,-0.125,0.006974264683278029,1.4357326965596273,1.3838302833759688,0.7297005633468879,0.7516171921825385
30,-0.125,0.005025545409208685,1.412542843430758,1.3801815983515915,0.7285767120989546,0.7691547002611097
31,-0.125,0.01823716714636211,6.941426997971363,1.405557333914492,0.7293882322961897,0.7591896367222764
32,-0.125,0.0037287732238819767,1.4136782258026286,1.3777703625137614,0.7288931218141476,0.7368170381120944
33,-0.125,0.015008530679506618,1.4137643473798849,1.3992118605848907,0.7291483538598579,0.8392029964264159
34,-0.125,0.0032841104964765246,1.4812956301075295,1.3769465806328902,0.7295861925327312,1.5002452254515566
35,-0.125,0.002245089800045753,1.565984997825166,1.375027640794382,0.7293396693767225,0.7640246179399557
36,-0.125,0.012046350686214912,1.443052573782436,1.3934750545660854,0.7305148938656222,0.9563098571341081
37,-0.125,0.016173127811144758,1.551371207843972,1.4014893501186727,0.7300398051654239,0.7461854874346517
38,-0.125,0.018365250531467158,1.4516779010748952,1.4058111237827828,0.730949013823061,0.7505430747345118
39,-0.125,0.020695220596519282,1.4085248754863704,1.4104560654876812,0.7290887276872275,0.7828784485567136
40,-0.125,0.007803000333835321,1.4638215843235614,1.3853913312848594,0.7282458833499753,0.7351717610970174
41,-0.125,0.004632912165347424,1.4419940067057866,1.3794501322871002,0.7293146673275182,0.7594703409162018
42,-0.125,0.018472917375980925,1.4083749486791952,1.4060245831616056,0.7312835147390119,0.7565340598474128
43,-0.125,0.030600097701418773,1.4689623551456343,1.430840096643055,0.7299546353033111,0.7425008046497705
