,0,1
0,139.37110900878906,141.35
1,62.97603988647461,66.35
2,52.97985076904297,56.72
3,36.35698699951172,41.4
4,28.65117835998535,31.8
5,22.99192237854004,26.77
6,19.38479232788086,21.3
7,19.38479232788086,18.66
8,18.384765625,16.33
9,18.384765625,13.95
10,13.728760719299316,11.34
11,13.728760719299316,8.95
12,12.047551155090332,6.1
13,52.54668426513672,56.86
14,31.234006881713867,36.77
15,22.352764129638672,26.9
16,22.352764129638672,24.17
17,18.745635986328125,21.42
18,18.745635986328125,19.27
19,17.7456111907959,16.81
20,17.7456111907959,14.08
21,13.089598655700684,11.7
22,13.089598655700684,9.1
23,11.408390998840332,6.8
24,48.3099479675293,52.1
25,18.43551254272461,22.03
26,17.518505096435547,16.43
27,12.862486839294434,12.2
28,11.181278228759766,7.33
29,38.337806701660156,42.23
30,32.02422332763672,36.95
31,29.519371032714844,32.12
32,24.321863174438477,27.2
33,20.52060890197754,22.23
34,19.651601791381836,17.2
35,15.030035972595215,12.35
36,13.314387321472168,7.85
37,44.767669677734375,46.69
38,39.2684211730957,42.62
39,25.541406631469727,27.93
40,21.74015235900879,22.92
41,20.87114715576172,17.85
42,16.24957847595215,12.75
43,14.533937454223633,8.33
44,89.34345245361328,92.27
45,38.01835632324219,43.0
46,31.929853439331055,37.55
47,29.424999237060547,32.85
48,20.80021858215332,22.83
49,19.931211471557617,18.07
50,15.309645652770996,13.25
51,13.594002723693848,9.1
52,11.011643409729004,5.2
53,139.80511474609375,142.29
54,112.98394775390625,117.42
55,88.37379455566406,92.73
56,74.6708984375,77.6
57,70.2374496459961,72.7
58,60.928470611572266,62.8
59,57.796730041503906,57.87
60,53.01472473144531,52.99
61,47.3874626159668,48.03
62,41.49794387817383,42.92
63,36.29572677612305,38.13
64,31.82360076904297,33.27
65,26.694292068481445,28.47
66,22.88229751586914,23.41
67,22.250402450561523,18.8
68,17.56755828857422,14.25
69,15.799078941345215,10.25
70,13.059684753417969,6.75
71,112.30345153808594,117.57
72,93.90739440917969,97.87
73,67.51019287109375,74.29
74,54.16975402832031,58.3
75,30.13709259033203,34.41
76,25.623620986938477,29.63
77,20.795028686523438,25.05
78,19.940921783447266,20.55
79,14.866812705993652,16.45
80,12.546592712402344,12.69
81,10.339868545532227,9.6
82,8.095388412475586,6.55
83,132.97955322265625,137.5
84,94.64981079101562,98.21
85,60.17282485961914,64.43
86,41.39415740966797,44.75
87,32.67588806152344,34.82
88,28.01880645751953,30.61
89,23.107315063476562,26.2
90,22.25320816040039,22.0
91,17.15151023864746,18.12
92,15.245585441589355,14.21
93,13.03886890411377,11.1
94,10.834853172302246,8.0
95,2.025890588760376,5.6
96,107.83805084228516,113.53
97,88.78443908691406,94.0
98,29.17811393737793,32.03
