Date,^SPX,^VIX,^NDX,^RUT,AAPL,AMZN,NFLX,GOOG,TSLA,MSFT,META
2018-11-07,2813.889892578125,16.360000610351562,7203.1298828125,1582.1600341796875,50.20290756225586,87.77449798583984,327.5,54.66949844360352,23.21066665649414,105.85958099365234,151.52999877929688
2018-11-08,2806.830078125,16.719999313354492,7158.58984375,1578.2099609375,50.027740478515625,87.74549865722656,317.9200134277344,54.119998931884766,23.426666259765625,105.66102600097656,147.8699951171875
2018-11-09,2781.010009765625,17.360000610351562,7039.14990234375,1549.489990234375,49.06312942504883,85.62149810791016,303.4700012207031,53.307498931884766,23.367332458496094,103.5998077392578,144.9600067138672
2018-11-12,2726.219970703125,20.450000762939453,6829.10009765625,1518.7900390625,46.59162521362305,81.84249877929688,294.07000732421875,51.93149948120117,22.0853328704834,101.04692840576172,141.5500030517578
2018-11-13,2722.179931640625,20.020000457763672,6830.91015625,1514.800048828125,46.12611389160156,81.55850219726562,294.3999938964844,51.8025016784668,22.582000732421875,101.11311340332033,142.16000366210938
2018-11-14,2701.580078125,21.25,6769.8701171875,1502.510009765625,44.82316589355469,79.95050048828125,286.7300109863281,52.18299865722656,22.933332443237305,99.6792221069336,144.22000122070312
2018-11-15,2730.199951171875,19.979999542236328,6890.4501953125,1524.1199951171875,45.92935180664063,80.97200012207031,290.0599975585937,53.23550033569336,23.22933387756348,101.8727798461914,143.85000610351562
2018-11-16,2736.27001953125,18.13999938964844,6867.02001953125,1527.530029296875,46.43804550170898,79.67050170898438,286.2099914550781,53.074501037597656,23.62066650390625,102.83187866210938,139.52999877929688
2018-11-19,2690.72998046875,20.100000381469727,6642.919921875,1496.5400390625,44.59761047363281,75.614501953125,270.6000061035156,51.0,23.564666748046875,99.34685516357422,131.5500030517578
2018-11-20,2641.889892578125,22.479999542236328,6526.9599609375,1469.010009765625,42.466835021972656,74.77300262451172,266.9800109863281,51.28799819946289,23.166000366210938,96.58354949951172,132.42999267578125
2018-11-21,2649.929931640625,20.799999237060547,6575.66015625,1488.280029296875,42.41884231567383,75.83650207519531,262.1300048828125,51.88050079345703,22.54599952697754,97.91297149658205,134.82000732421875
2018-11-23,2632.56005859375,21.520000457763672,6527.35009765625,1488.6800537109375,41.341453552246094,75.10299682617188,258.82000732421875,51.19400024414063,21.722000122070312,97.87496948242188,131.72999572753906
2018-11-26,2673.449951171875,18.89999961853028,6678.33984375,1505.9599609375,41.90055084228516,79.06649780273438,261.42999267578125,52.430999755859375,23.06666755676269,101.10359191894533,136.3800048828125
2018-11-27,2682.169921875,19.020000457763672,6701.0400390625,1492.8599853515625,41.80936813354492,79.07099914550781,266.6300048828125,52.22050094604492,22.92799949645996,101.73983764648438,135.0
2018-11-28,2743.7900390625,18.489999771118164,6913.330078125,1530.3800048828125,43.41704940795898,83.88749694824219,282.6499938964844,54.311500549316406,23.19133377075196,105.51923370361328,136.75999450683594
2018-11-29,2737.800048828125,18.790000915527344,6892.39990234375,1525.3900146484375,43.08351135253906,83.67849731445312,288.75,54.415000915527344,22.744667053222656,104.63612365722656,138.67999267578125
2018-11-30,2760.169921875,18.06999969482422,6949.009765625,1533.27001953125,42.85076141357422,84.50849914550781,286.1300048828125,54.72150039672852,23.365333557128903,105.3008270263672,140.61000061035156
2018-12-03,2790.3701171875,16.440000534057617,7062.1298828125,1548.9599609375,44.34807205200195,88.61799621582031,290.29998779296875,55.32149887084961,23.89933204650879,106.44034576416016,141.08999633789062
2018-12-04,2700.06005859375,20.739999771118164,6795.2099609375,1480.75,42.39725112915039,83.41999816894531,275.3299865722656,52.54100036621094,23.979999542236328,103.05029296875,137.92999267578125
2018-12-06,2695.949951171875,21.190000534057617,6838.85009765625,1477.4100341796875,41.92454528808594,84.95950317382812,282.8800048828125,53.436500549316406,24.20400047302246,103.68650817871094,139.6300048828125
2018-12-07,2633.080078125,23.229999542236328,6613.27978515625,1448.0899658203125,40.42962646484375,81.45649719238281,265.1400146484375,51.82899856567383,23.86466789245605,99.53678131103516,137.4199981689453
2018-12-10,2637.719970703125,22.63999938964844,6682.740234375,1443.0999755859375,40.69597625732422,82.05149841308594,269.70001220703125,51.977500915527344,24.34333229064941,102.16716003417967,141.85000610351562
2018-12-11,2636.780029296875,21.76000022888184,6704.240234375,1440.1300048828125,40.463226318359375,82.16200256347656,265.32000732421875,52.587501525878906,24.450666427612305,103.1167449951172,142.0800018310547
2018-12-12,2651.070068359375,21.459999084472656,6763.9599609375,1455.3199462890625,40.57600402832031,83.177001953125,274.8800048828125,53.18399810791016,24.440000534057617,103.58206176757812,144.5
2018-12-13,2650.5400390625,20.64999961853028,6767.97021484375,1432.699951171875,41.0199089050293,82.91899871826172,276.0199890136719,53.095001220703125,25.11933326721192,103.93340301513672,145.00999450683594
2018-12-14,2599.949951171875,21.6299991607666,6594.9599609375,1410.81005859375,39.70737075805664,79.59549713134766,266.8399963378906,52.10499954223633,24.38066673278809,100.68578338623048,144.05999755859375
2018-12-17,2545.93994140625,24.520000457763672,6448.39013671875,1378.1400146484375,39.33784866333008,76.04550170898438,262.79998779296875,50.82649993896485,23.22800064086914,97.70404815673828,140.19000244140625
2018-12-18,2546.159912109375,25.57999992370605,6491.52001953125,1377.1800537109375,39.84894561767578,77.5739974975586,270.94000244140625,51.43550109863281,22.46866607666016,98.7296142578125,143.66000366210938
2018-12-19,2506.9599609375,25.57999992370605,6342.97021484375,1349.22998046875,38.605987548828125,74.75399780273438,266.7699890136719,51.1505012512207,22.19799995422364,98.46370697021484,133.24000549316406
