,r,dsigma,LSMCerror,BINerror,BSerror,MJDerror
0,0.3,-0.1,1.0896360255333126,1.087845493413247,1.9766366576649335,1.939002237081755
1,0.15,-0.4,0.551111570593813,0.5583156128473546,0.9631264801312884,0.9232477889905026
2,0.15,-0.3949367088607595,0.5529126088181331,0.5576697728316475,0.9066949024351257,0.8919414435985142
3,0.15,-0.389873417721519,0.5517258816590971,0.5569796437524898,0.8711356001362159,0.8420257237776066
4,0.15,-0.3848101265822785,0.551560658882038,0.5561687279800488,0.8306030244231027,0.8431765535004738
5,0.15,-0.379746835443038,0.5538356612539005,0.5551928019451126,0.8048479076665818,0.7753954353386389
6,0.15,-0.37468354430379747,0.5489633674163744,0.5543478926400369,0.752468709192996,0.7731957157355873
7,0.15,-0.369620253164557,0.550603803286971,0.59390070806609,0.757901268419583,0.7228187585889292
8,0.15,-0.36455696202531646,0.5435600853523571,1.4637058550891843e+61,0.7542868681383912,0.7370766088081127
9,0.15,-0.359493670886076,0.550413014068068,38934.86651069636,0.7271714686132543,0.6979079866472415
10,0.15,-0.35443037974683544,0.5447826074082084,0.5478768128387561,0.6797070511161282,0.648269381130257
11,0.15,-0.34936708860759497,0.5470347509620518,0.5453570813092263,0.69109803627692,0.6596245771345485
12,0.15,-0.34430379746835443,0.5413930849808803,0.5425718542369458,0.6717371357582758,0.6515557361229081
13,0.15,-0.33924050632911396,0.5376650298068824,3.07332993087154e+17,0.6613137653915035,0.6470681756145666
14,0.15,-0.3341772151898734,0.5330907015707289,21430755087160.01,0.6488928442202805,0.6217036249309089
15,0.15,-0.32911392405063294,0.5251670367610436,inf,0.6383347001832297,0.625009189319756
16,0.15,-0.3240506329113924,0.5252154423907058,0.5464117089067085,0.6370007435094963,0.6240653684726103
17,0.15,-0.31898734177215193,0.5203216257584768,1.597375103405726e+56,0.6495291344484218,0.6305808157885066
18,0.15,-0.3139240506329114,0.5172884555486887,inf,0.6441042648751015,0.6300799311560222
19,0.15,-0.3088607594936709,0.5111167399925207,2.9089921093133e+71,0.6472725539590793,0.6324114246416627
20,0.15,-0.3037974683544304,0.5049110952965612,234241.14059363407,0.6537711311021092,0.6343964452177753
21,0.15,-0.2987341772151899,0.500493656825397,0.5021920548735328,0.6567484358483248,0.6382908247797519
22,0.15,-0.2936708860759494,0.49446581682632307,0.4961003747024922,0.6570659946090216,0.6422389477408191
23,0.15,-0.2886075949367089,0.48843769631618106,0.48979724926655377,0.6585956426507841,0.6379210315566228
24,0.15,-0.28354430379746837,0.47994055537107044,0.4832510013179275,0.6591392635780912,0.6434088983704725
25,0.15,-0.2784810126582279,0.46926459673817417,0.4764066778817094,0.6627653868531872,0.6498983909462793
26,0.15,-0.27341772151898736,0.46140060863211974,0.4691545739340272,0.6660248018847006,0.6461130529805941
27,0.15,-0.2683544303797468,0.457146749577915,0.4616858837164316,0.6698104553110351,0.6533389224358579
28,0.15,-0.26329113924050634,0.4526203417061277,0.45388293536040664,0.6762499194191537,0.6634773454290493
29,0.15,-0.25822784810126587,0.44518118673254653,0.445762120971129,0.6820456744820238,0.6655517708125882
30,0.15,-0.25316455696202533,0.43378674380889004,0.4376406870680078,0.6873187640574372,0.6710633340601266
31,0.15,-0.24810126582278483,0.42614224648242127,0.429365907695998,0.6943229831213568,0.6765884825591255
32,0.15,-0.24303797468354432,0.4238311346007327,0.42111334496312136,0.7023511305329543,0.6817817702246428
33,0.15,-0.23797468354430382,0.41056422489548,0.4131840597391965,0.7064279002083805,0.6858719370179224
34,0.15,-0.2329113924050633,0.40907195482441683,0.40542688857390297,0.7096696948792542,0.6960140728123252
35,0.15,-0.2278481012658228,0.3944349724779804,0.39808283475359374,0.7103468847618561,0.6972632527141484
36,0.15,-0.2227848101265823,0.38880248840369297,0.39105995148263034,0.7095261518506496,0.6930870554453274
37,0.15,-0.2177215189873418,0.38084535556035887,0.38451747504702705,0.7049352943094982,0.689480327208039
38,0.15,-0.2126582278481013,0.37793436054408264,0.3784986042251687,0.698177970036198,0.6821757008624203
39,0.15,-0.20759493670886078,0.3765252997290398,0.37302557610852605,0.687850937006143,0.6656716842696476
40,0.15,-0.20253164556962028,0.36520686560481697,0.3681435442741183,0.673675574798199,0.6572477580158249
41,0.15,-0.19746835443037977,0.3639399782195418,0.3639181104880935,0.6590586084216926,0.6385760869908494
42,0.15,-0.19240506329113927,0.3610249702220499,0.360293132609677,0.6463786194370693,0.6269884384558784
43,0.15,-0.18734177215189876,0.3733634110568151,0.3575207607816243,0.6363850616732036,0.6206412059469281
44,0.15,-0.18227848101265826,0.34737412743436563,0.35548309026556335,0.6255094606277345,0.6056152399310107
45,0.15,-0.17721518987341775,0.3587819662547729,0.3544093659459677,0.6139848988182698,0.5882002383674939
