,symbol,optionType,expiration,strike,lastPrice,lastTradeDate,inTheMoney,maturity,S0,sigma,returns,method,LSMC_est_price,LSMC_perc_error,BIN_est_price,BIN_perc_error,BS_est_price,BS_perc_error,MJD_est_price,MJD_perc_error
20620,^NDX,calls,2023-12-04,16100.0,164.08,2023-11-20,False,14,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,290.7344254469151,-0.7719065422166936,324.35807552672827,-0.9768288367060474
20621,^NDX,puts,2023-12-04,12600.0,1.0,2023-11-20,False,14,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,0.0,1.0,0.0,1.0
20622,^NDX,puts,2023-12-04,13500.0,0.5,2023-11-20,False,14,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,0.0,1.0,0.0,1.0
20623,^NDX,puts,2023-12-04,13800.0,3.2,2023-11-20,False,14,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,0.36926190588211927,0.8846056544118377,0.012306458106156626,0.996154231841826
20624,^NDX,puts,2023-12-04,14400.0,4.8,2023-11-20,False,14,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,5.481063703186856,-0.14188827149726174,3.2217264676694586,0.3288069859021961
20625,^NDX,puts,2023-12-04,14500.0,6.13,2023-11-20,False,14,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,7.171073990513637,-0.16983262487987558,7.11062876608937,-0.15997206624622676
20626,^NDX,puts,2023-12-04,14600.0,5.2,2023-11-20,False,14,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,11.374920668675356,-1.18748474397603,4.585765508498935,0.11812201759635872
20627,^NDX,puts,2023-12-04,14800.0,6.8,2023-11-20,False,14,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,22.47967069914342,-2.3058339263446204,21.745399288809434,-2.1978528365896226
20628,^NDX,puts,2023-12-04,15300.0,24.19,2023-11-20,False,14,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,70.4074303860128,-1.9106006773878794,71.9592259779395,-1.9747509705638486
20629,^NDX,puts,2023-12-04,15400.0,22.6,2023-11-20,False,14,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,97.69815895876995,-3.322927387556192,87.60359245393406,-2.8762651528289407
20630,^NDX,puts,2023-12-04,15450.0,35.67,2023-11-20,False,14,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,99.68517824697585,-1.7946503573584482,112.96319391844833,-2.1668963812292774
20631,^NDX,puts,2023-12-04,15700.0,59.77,2023-11-20,False,14,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,192.97066134522123,-2.228553812033147,180.83561841912393,-2.025524818790763
20632,^NDX,puts,2023-12-04,15750.0,69.62,2023-11-20,False,14,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,204.84354421977233,-1.9423088799162929,198.70863107883645,-1.8541888980010979
20633,^NDX,calls,2023-12-05,16225.0,103.3,2023-11-20,False,15,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,271.32556244427286,-1.6265785328584013,282.0620024510645,-1.7305130924594818
20634,^NDX,calls,2023-12-05,16325.0,71.9,2023-11-20,False,15,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,220.6286415103102,-2.0685485606440914,230.61215546887098,-2.2074013278007087
20635,^NDX,puts,2023-12-05,14450.0,4.7,2023-11-20,False,15,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,5.108667526438465,-0.08695053754009888,5.690830849268057,-0.21081507431235247
20636,^NDX,puts,2023-12-05,14750.0,7.2,2023-11-20,False,15,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,24.45573370407791,-2.396629681121932,16.963310490922126,-1.3560153459614064
20637,^NDX,puts,2023-12-05,14800.0,7.9,2023-11-20,False,15,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,26.081083435142954,-2.301402966473791,23.957956588260526,-2.0326527326912056
20638,^NDX,puts,2023-12-05,15000.0,17.9,2023-11-20,False,15,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,35.78415034449812,-0.9991145443853702,47.8979640503831,-1.6758639134292237
20639,^NDX,puts,2023-12-05,15175.0,16.47,2023-11-20,False,15,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,72.04141146877753,-3.374099056999243,59.4720231275541,-2.6109303659717127
20640,^NDX,puts,2023-12-05,15200.0,17.62,2023-11-20,False,15,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,73.43190537222252,-3.16753151942239,67.96985013290976,-2.8575397351254113
20641,^NDX,puts,2023-12-05,15300.0,24.08,2023-11-20,False,15,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,79.62615903710466,-2.3067341792817553,75.764952236495,-2.1463850596551084
20642,^NDX,puts,2023-12-06,14750.0,9.92,2023-11-20,False,16,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,22.464390786199573,-1.2645555228023764,30.22178673022676,-2.0465510816760846
20643,^NDX,puts,2023-12-06,14800.0,10.97,2023-11-20,False,16,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,23.226164216165987,-1.117243775402551,26.527259132944774,-1.4181640048263238
20644,^NDX,puts,2023-12-06,15175.0,21.7,2023-11-20,False,16,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,75.67287223436873,-2.487229135224365,74.32056117956809,-2.424910653436317
20645,^NDX,puts,2023-12-06,15200.0,23.05,2023-11-20,False,16,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,67.08511024212386,-1.9104169302439853,76.78817394273806,-2.331374140682779
20646,^NDX,puts,2023-12-06,15475.0,42.81,2023-11-20,False,16,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,148.0060951135676,-2.4572785590648816,125.52542547286949,-1.9321519615246316
20647,^NDX,calls,2023-12-07,15900.0,254.05,2023-11-20,True,17,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,443.46870978687133,-0.7455961810150415,429.24815403224017,-0.6896207598198786
20648,^NDX,calls,2023-12-07,16350.0,87.45,2023-11-20,False,17,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,243.59180026580137,-1.7854980018959559,249.71286816122657,-1.8554930607344373
20649,^NDX,puts,2023-12-07,13000.0,2.06,2023-11-20,False,17,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,0.0,1.0,0.0,1.0
20650,^NDX,puts,2023-12-07,14400.0,8.25,2023-11-20,False,17,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,4.921106934742054,0.4035021897282358,10.580485839678236,-0.2824831320822104
20651,^NDX,puts,2023-12-07,14700.0,9.03,2023-11-20,False,17,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,26.137413795676572,-1.8945087259885462,22.082066912141048,-1.4454116181773033
20652,^NDX,puts,2023-12-07,14775.0,10.18,2023-11-20,False,17,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,36.58809527749877,-2.5941154496560683,27.005436990724426,-1.652793417556427
20653,^NDX,puts,2023-12-07,15500.0,50.15,2023-11-20,False,17,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,123.74559500293266,-1.467509371942825,147.74979137330195,-1.9461573553998393
20654,^NDX,puts,2023-12-07,15700.0,106.3,2023-11-20,False,17,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,210.9741671144812,-0.9847052409640752,196.11457000377806,-0.8449159925096713
20655,^NDX,puts,2023-12-07,15800.0,106.7,2023-11-20,False,17,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,237.9446157332916,-1.2300338869099494,250.4057568154457,-1.346820588710831
20656,^NDX,calls,2023-12-08,14500.0,1577.95,2023-11-20,True,18,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,1583.293956132948,-0.003386644781487405,1555.6696993932046,0.014119776042837501
20657,^NDX,calls,2023-12-08,15100.0,999.53,2023-11-20,True,18,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,1064.4942599593799,-0.06499480751891377,1033.0654784001374,-0.03355124748645607
20658,^NDX,calls,2023-12-08,15175.0,900.83,2023-11-20,True,18,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,983.3977524171386,-0.09165741862186931,967.1660133651114,-0.0736387702064889
20659,^NDX,calls,2023-12-08,15250.0,721.95,2023-11-20,True,18,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,932.404586794067,-0.2915085349318747,938.8499062301656,-0.30043618842048003
20660,^NDX,calls,2023-12-08,15275.0,807.6,2023-11-20,True,18,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,938.7227682143017,-0.16236103047833295,863.8497486532177,-0.06965050600943251
20661,^NDX,calls,2023-12-08,15725.0,450.83,2023-11-20,True,18,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,548.2008756603024,-0.2159813580735585,590.149009214665,-0.30902781362079956
20662,^NDX,calls,2023-12-08,15800.0,325.88,2023-11-20,True,18,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,502.5907682790087,-0.5422571752762021,523.2762438862447,-0.605732919744215
20663,^NDX,calls,2023-12-08,16050.0,234.9,2023-11-20,False,18,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,394.88254619347873,-0.6810666078905011,342.6722008109375,-0.45880034402272246
20664,^NDX,calls,2023-12-08,16075.0,201.05,2023-11-20,False,18,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,360.6463843098502,-0.7938143959704063,370.82018768917163,-0.8444177452831216
20665,^NDX,calls,2023-12-08,16100.0,203.47,2023-11-20,False,18,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,340.0690451711606,-0.671347349344673,364.3695857608652,-0.790777931689513
20666,^NDX,calls,2023-12-08,16125.0,172.44,2023-11-20,False,18,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,367.13650097168335,-1.129068087286496,332.66224927119083,-0.9291478153049805
20667,^NDX,calls,2023-12-08,16200.0,143.25,2023-11-20,False,18,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,291.8467560916942,-1.0373246498547588,322.5289496951658,-1.2515109926364105
20668,^NDX,calls,2023-12-08,16225.0,138.1,2023-11-20,False,18,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,296.2481452730392,-1.1451712184868879,321.26324802793295,-1.3263088198981388
20669,^NDX,calls,2023-12-08,16275.0,119.0,2023-11-20,False,18,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,303.7991369160429,-1.5529339236642263,290.0812752513619,-1.4376577752215285
20670,^NDX,calls,2023-12-08,16300.0,113.74,2023-11-20,False,18,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,284.52440593496664,-1.5015333737908092,301.45957684655633,-1.650427086746583
20671,^NDX,calls,2023-12-08,16350.0,74.8,2023-11-20,False,18,16027.0595703125,0.2654138212625917,0.16167034356440066,E,,,,,261.07258576634774,-2.49027521078005,254.31780432411847,-2.3999706460443644
