Date,^SPX,^VIX,^NDX,^RUT,AAPL,AMZN,NFLX,GOOG,TSLA,MSFT,META
2018-11-07,2813.889892578125,16.360000610351562,7203.1298828125,1582.1600341796875,50.202903747558594,87.77449798583984,327.5,54.669498443603516,23.21066665649414,105.85956573486328,151.52999877929688
2018-11-08,2806.830078125,16.719999313354492,7158.58984375,1578.2099609375,50.027732849121094,87.74549865722656,317.9200134277344,54.119998931884766,23.426666259765625,105.66102600097656,147.8699951171875
2018-11-09,2781.010009765625,17.360000610351562,7039.14990234375,1549.489990234375,49.063133239746094,85.62149810791016,303.4700012207031,53.307498931884766,23.367332458496094,103.59981536865234,144.9600067138672
2018-11-12,2726.219970703125,20.450000762939453,6829.10009765625,1518.7900390625,46.59162139892578,81.84249877929688,294.07000732421875,51.93149948120117,22.0853328704834,101.04692840576172,141.5500030517578
2018-11-13,2722.179931640625,20.020000457763672,6830.91015625,1514.800048828125,46.12610626220703,81.55850219726562,294.3999938964844,51.8025016784668,22.582000732421875,101.11309814453125,142.16000366210938
2018-11-14,2701.580078125,21.25,6769.8701171875,1502.510009765625,44.823177337646484,79.95050048828125,286.7300109863281,52.18299865722656,22.933332443237305,99.67921447753906,144.22000122070312
2018-11-15,2730.199951171875,19.979999542236328,6890.4501953125,1524.1199951171875,45.92934799194336,80.97200012207031,290.05999755859375,53.23550033569336,23.229333877563477,101.87276458740234,143.85000610351562
2018-11-16,2736.27001953125,18.139999389648438,6867.02001953125,1527.530029296875,46.43804931640625,79.67050170898438,286.2099914550781,53.074501037597656,23.62066650390625,102.83187103271484,139.52999877929688
2018-11-19,2690.72998046875,20.100000381469727,6642.919921875,1496.5400390625,44.59760665893555,75.614501953125,270.6000061035156,51.0,23.564666748046875,99.34686279296875,131.5500030517578
2018-11-20,2641.889892578125,22.479999542236328,6526.9599609375,1469.010009765625,42.466827392578125,74.77300262451172,266.9800109863281,51.28799819946289,23.166000366210938,96.58353424072266,132.42999267578125
2018-11-21,2649.929931640625,20.799999237060547,6575.66015625,1488.280029296875,42.418846130371094,75.83650207519531,262.1300048828125,51.88050079345703,22.54599952697754,97.91295623779297,134.82000732421875
2018-11-23,2632.56005859375,21.520000457763672,6527.35009765625,1488.6800537109375,41.34144973754883,75.10299682617188,258.82000732421875,51.194000244140625,21.722000122070312,97.87499237060547,131.72999572753906
2018-11-26,2673.449951171875,18.899999618530273,6678.33984375,1505.9599609375,41.900543212890625,79.06649780273438,261.42999267578125,52.430999755859375,23.066667556762695,101.10362243652344,136.3800048828125
2018-11-27,2682.169921875,19.020000457763672,6701.0400390625,1492.8599853515625,41.80936050415039,79.07099914550781,266.6300048828125,52.22050094604492,22.92799949645996,101.7398452758789,135.0
2018-11-28,2743.7900390625,18.489999771118164,6913.330078125,1530.3800048828125,43.41704177856445,83.88749694824219,282.6499938964844,54.311500549316406,23.191333770751953,105.51924896240234,136.75999450683594
2018-11-29,2737.800048828125,18.790000915527344,6892.39990234375,1525.3900146484375,43.083518981933594,83.67849731445312,288.75,54.415000915527344,22.744667053222656,104.63612365722656,138.67999267578125
2018-11-30,2760.169921875,18.06999969482422,6949.009765625,1533.27001953125,42.85076141357422,84.50849914550781,286.1300048828125,54.721500396728516,23.365333557128906,105.30081176757812,140.61000061035156
2018-12-03,2790.3701171875,16.440000534057617,7062.1298828125,1548.9599609375,44.34806442260742,88.61799621582031,290.29998779296875,55.32149887084961,23.89933204650879,106.44034576416016,141.08999633789062
2018-12-04,2700.06005859375,20.739999771118164,6795.2099609375,1480.75,42.397239685058594,83.41999816894531,275.3299865722656,52.54100036621094,23.979999542236328,103.05026245117188,137.92999267578125
